FieldID	TRAIT_OF_INTEREST	EXCLUDED	CAT_MULT_INDICATOR_FIELDS	CAT_SINGLE_TO_CAT_MULT	DATE_CONVERT	DATA_CODING	Path	Category	Field	ValueType
118		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Mother's day of birth	Integer
120		YES				100258	Assessment centre > Verbal interview > Early life factors	100072	Birth weight known	Categorical single
129		YES					Assessment centre > Verbal interview > Early life factors	100072	Place of birth in UK - north co-ordinate	Integer
130		YES					Assessment centre > Verbal interview > Early life factors	100072	Place of birth in UK - east co-ordinate	Integer
132		YES-SENSITIVE				2	Assessment centre > Verbal interview > Employment	100073	Job code at visit - entered	Categorical single
134		YES					Assessment centre > Verbal interview > Medical conditions	100074	Number of self-reported cancers	Integer
135		YES					Assessment centre > Verbal interview > Medical conditions	100074	Number of self-reported non-cancer illnesses	Integer
136		YES					Assessment centre > Verbal interview > Operations	100076	"Number of operations, self-reported"	Integer
137		YES					Assessment centre > Verbal interview > Medications	100075	Number of treatments/medications taken	Integer
146		YES-SENSITIVE					Assessment centre > Verbal interview > Early life factors	100072	Father's day of birth	Integer
189		YES					Population characteristics > Baseline characteristics	100094	Townsend deprivation index at recruitment	Continuous
190		YES				1965	Population characteristics > Ongoing characteristics	2	Reason lost to follow-up	Categorical single
191		YES-DATE					Population characteristics > Ongoing characteristics	2	Date lost to follow-up	Date
200		YES-DATE					Assessment centre > Recruitment > Consent	100023	Date of consenting to join UK Biobank	Date
393		YES-ACE				1200	Assessment centre > Recruitment > Consent	100023	Program (tactus) version ID (compiler timestamp)	Categorical single
396		YES					Assessment centre > Cognitive function > Pairs matching	100030	Number of columns displayed in round	Integer
397		YES					Assessment centre > Cognitive function > Pairs matching	100030	Number of rows displayed in round	Integer
398		YES					Assessment centre > Cognitive function > Pairs matching	100030	Number of correct matches in round	Integer
399		YES					Assessment centre > Cognitive function > Pairs matching	100030	Number of incorrect matches in round	Integer
400		YES				402	Assessment centre > Cognitive function > Pairs matching	100030	Time to complete round	Integer
401		YES-CAT-SIN-MUL-VAL				92	Assessment centre > Cognitive function > Reaction time	100032	Index for card A in round	Categorical single
402		YES-CAT-SIN-MUL-VAL				92	Assessment centre > Cognitive function > Reaction time	100032	Index for card B in round	Categorical single
403		YES					Assessment centre > Cognitive function > Reaction time	100032	Number of times snap-button pressed	Integer
404		YES					Assessment centre > Cognitive function > Reaction time	100032	Duration to first press of snap-button in each round	Integer
630		YES					Assessment centre > Procedural metrics > Process durations	152	Touchscreen duration	Integer
670		YES				100286	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Type of accommodation lived in	Categorical single
680		YES				100287	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Own or rent accommodation lived in	Categorical single
699		YES				100290	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Length of time at current address	Integer
709		YES				100291	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Number in household	Integer
728		YES				100293	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Number of vehicles in household	Categorical single
738		YES				100294	Assessment centre > Touchscreen > Sociodemographics > Household	100066	Average total household income before tax	Categorical single
757		YES				100290	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Time employed in main current job	Integer
767		YES				100291	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Length of working week for main job	Integer
777		YES					Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Frequency of travelling from home to job workplace	Integer
796		YES				100300	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Distance between home and job workplace	Integer
806		YES				100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves mainly walking or standing	Categorical single
816		YES				100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves heavy manual or physical work	Categorical single
826		YES				100301	Assessment centre > Touchscreen > Sociodemographics > Employment	100064	Job involves shift work	Categorical single
845		YES				100306	Assessment centre > Touchscreen > Sociodemographics > Education	100063	Age completed full time education	Integer
864						100307	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week walked 10+ minutes	Integer
874						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of walks	Integer
884						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of moderate physical activity 10+ minutes	Integer
894						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of moderate activity	Integer
904						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Number of days/week of vigorous physical activity 10+ minutes	Integer
914						100291	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of vigorous activity	Integer
924						100313	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Usual walking pace	Categorical single
943						100314	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of stair climbing in last 4 weeks	Categorical single
971						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of walking for pleasure in last 4 weeks	Categorical single
981						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration walking for pleasure	Categorical single
991						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of strenuous sports in last 4 weeks	Categorical single
1001						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of strenuous sports	Categorical single
1011						100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of light DIY in last 4 weeks	Categorical single
1021						100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of light DIY	Categorical single
1031		YES				100327	Assessment centre > Touchscreen > Psychosocial factors > Social support	100061	Frequency of friend/family visits	Categorical single
1050		YES				100329	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spend outdoors in summer	Integer
1060		YES				100329	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Time spent outdoors in winter	Integer
1070		YES				100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent watching television (TV)	Integer
1080		YES				100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent using computer	Integer
1090		YES				100329	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Time spent driving	Integer
1100		YES				100334	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Drive faster than motorway speed limit	Categorical single
1110		YES				100335	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Length of mobile phone use	Categorical single
1120		YES				100336	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Weekly usage of mobile phone in last 3 months	Categorical single
1130		YES				100337	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Hands-free device/speakerphone use with mobile phone in last 3 month	Categorical single
1140		YES				100338	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Difference in mobile phone use compared to two years previously	Categorical single
1150		YES				100339	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Usual side of head for mobile phone use	Categorical single
1160						100291	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleep duration	Integer
1170		YES				100341	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Getting up in morning	Categorical single
1180		YES				100342	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Morning/evening person (chronotype)	Categorical single
1190		YES				100343	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Nap during day	Categorical single
1200						100343	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Sleeplessness / insomnia	Categorical single
1210						100345	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Snoring	Categorical single
1220						100346	Assessment centre > Touchscreen > Lifestyle and environment > Sleep	100057	Daytime dozing / sleeping	Categorical single
1239						100347	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Current tobacco smoking	Categorical single
1249		YES				100348	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Past tobacco smoking	Categorical single
1259		YES				100370	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Smoking/smokers in household	Categorical single
1269		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke at home	Integer
1279		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Exposure to tobacco smoke outside home	Integer
1289		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cooked vegetable intake	Integer
1299		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Salad / raw vegetable intake	Integer
1309		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Fresh fruit intake	Integer
1319		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Dried fruit intake	Integer
1329		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Oily fish intake	Categorical single
1339		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-oily fish intake	Categorical single
1349		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Processed meat intake	Categorical single
1359		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Poultry intake	Categorical single
1369		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Beef intake	Categorical single
1379		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Lamb/mutton intake	Categorical single
1389		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Pork intake	Categorical single
1408		YES				100377	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cheese intake	Categorical single
1418		YES				100387	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Milk type used	Categorical single
1428		YES				100388	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Spread type	Categorical single
1438		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread intake	Integer
1448		YES				100391	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Bread type	Categorical single
1458		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal intake	Integer
1468		YES				100393	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Cereal type	Categorical single
1478		YES				100394	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Salt added to food	Categorical single
1488		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Tea intake	Integer
1498		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee intake	Integer
1508		YES				100397	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Coffee type	Categorical single
1518		YES				100398	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Hot drink temperature	Categorical single
1528		YES				100373	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Water intake	Integer
1538		YES				100400	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Major dietary changes in the last 5 years	Categorical single
1548		YES				100401	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Variation in diet	Categorical single
1558						100402	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake frequency.	Categorical single
1568		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly red wine intake	Integer
1578		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly champagne plus white wine intake	Integer
1588		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly beer plus cider intake	Integer
1598		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly spirits intake	Integer
1608		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Average weekly fortified wine intake	Integer
1618		YES				100416	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol usually taken with meals	Categorical single
1628		YES				100417	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Alcohol intake versus 10 years previously	Categorical single
1647		YES				100420	Assessment centre > Touchscreen > Early life factors	100033	Country of birth (UK/elsewhere)	Categorical single
1677		YES				100349	Assessment centre > Touchscreen > Early life factors	100033	Breastfed as a baby	Categorical single
1687		YES				100428	Assessment centre > Touchscreen > Early life factors	100033	Comparative body size at age 10	Categorical single
1697		YES				100429	Assessment centre > Touchscreen > Early life factors	100033	Comparative height size at age 10	Categorical single
1707		YES				100430	Assessment centre > Touchscreen > Early life factors	100033	Handedness (chirality/laterality)	Categorical single
1717		YES				100431	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Skin colour	Categorical single
1727		YES				100432	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Ease of skin tanning	Categorical single
1737		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Childhood sunburn occasions	Integer
1747		YES				100434	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	"Hair colour (natural, before greying)"	Categorical single
1757		YES				100435	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Facial ageing	Categorical single
1767		YES				100349	Assessment centre > Touchscreen > Early life factors	100033	Adopted as a child	Categorical single
1777		YES				100349	Assessment centre > Touchscreen > Early life factors	100033	Part of a multiple birth	Categorical single
1787		YES				100349	Assessment centre > Touchscreen > Early life factors	100033	Maternal smoking around birth	Categorical single
1797		YES				100349	Assessment centre > Touchscreen > Family history	100034	Father still alive	Categorical single
1807		YES				100291	Assessment centre > Touchscreen > Family history	100034	Father's age at death	Integer
1835		YES				100349	Assessment centre > Touchscreen > Family history	100034	Mother still alive	Categorical single
1845		YES				100291	Assessment centre > Touchscreen > Family history	100034	Mother's age	Integer
1873		YES				100291	Assessment centre > Touchscreen > Family history	100034	Number of full brothers	Integer
1883		YES				100291	Assessment centre > Touchscreen > Family history	100034	Number of full sisters	Integer
1920						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Mood swings	Categorical single
1930						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Miserableness	Categorical single
1940						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Irritability	Categorical single
1950						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Sensitivity / hurt feelings	Categorical single
1960						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Fed-up feelings	Categorical single
1970						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Nervous feelings	Categorical single
1980						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Worrier / anxious feelings	Categorical single
1990						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Tense / 'highly strung'	Categorical single
2000						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Worry too long after embarrassment	Categorical single
2010						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Suffer from 'nerves'	Categorical single
2020						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	"Loneliness, isolation"	Categorical single
2030		YES				100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Guilty feelings	Categorical single
2040		YES				100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Risk taking	Categorical single
2050						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of depressed mood in last 2 weeks	Categorical single
2060						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of unenthusiasm / disinterest in last 2 weeks	Categorical single
2070						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tenseness / restlessness in last 2 weeks	Categorical single
2080						100484	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	Frequency of tiredness / lethargy in last 2 weeks	Categorical single
2090						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	"Seen doctor (GP) for nerves, anxiety, tension or depression"	Categorical single
2100						100349	Assessment centre > Touchscreen > Psychosocial factors > Mental health	100060	"Seen a psychiatrist for nerves, anxiety, tension or depression"	Categorical single
2110		YES				100501	Assessment centre > Touchscreen > Psychosocial factors > Social support	100061	Able to confide	Categorical single
2129		YES				100503	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Answered sexual history questions	Categorical single
2139		YES				100504	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Age first had sexual intercourse	Integer
2149		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Lifetime number of sexual partners	Integer
2159		YES				100352	Assessment centre > Touchscreen > Lifestyle and environment > Sexual factors	100056	Ever had same-sex intercourse	Categorical single
2178						100508	Assessment centre > Touchscreen > Health and medical history > General health	100042	Overall health rating	Categorical single
2188						100349	Assessment centre > Touchscreen > Health and medical history > General health	100042	"Long-standing illness, disability or infirmity"	Categorical single
2207		YES				100352	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Wears glasses or contact lenses	Categorical single
2217		YES				100291	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Age started wearing glasses or contact lenses	Integer
2227						100352	Assessment centre > Touchscreen > Health and medical history > Eyesight	100041	Other eye problems	Categorical single
2237		YES				100639	Assessment centre > Touchscreen > Lifestyle and environment > Electronic device use	100053	Plays computer games	Categorical single
2247						100631	Assessment centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems	Categorical single
2257		YES				100349	Assessment centre > Touchscreen > Health and medical history > Hearing	100043	Hearing difficulty/problems with background noise	Categorical single
2267		YES				100536	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Use of sun/uv protection	Categorical single
2277		YES				100537	Assessment centre > Touchscreen > Lifestyle and environment > Sun exposure	100055	Frequency of solarium/sunlamp use	Integer
2296		YES				100539	Assessment centre > Touchscreen > Health and medical history > General health	100042	Falls in the last year	Categorical single
2306		YES				100540	Assessment centre > Touchscreen > Health and medical history > General health	100042	Weight change compared with 1 year ago	Categorical single
2316		YES				100349	Assessment centre > Touchscreen > Health and medical history > Breathing	100037	Wheeze or whistling in the chest in last year	Categorical single
2335		YES				100349	Assessment centre > Touchscreen > Health and medical history > Chest pain	100039	Chest pain or discomfort	Categorical single
2345		YES				100349	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had bowel cancer screening	Categorical single
2355		YES				100567	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Most recent bowel cancer screening	Integer
2365		YES				100349	Assessment centre > Touchscreen > Health and medical history > Cancer screening	100040	Ever had prostate specific antigen (PSA) test	Categorical single
2375		YES				100570	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age of first facial hair	Categorical single
2385		YES				100570	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Relative age voice broke	Categorical single
2395		YES				100572	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Hair/balding pattern	Categorical single
2405		YES				100291	Assessment centre > Touchscreen > Sex-specific factors > Male-specific factors	100070	Number of children fathered	Integer
2415		YES				100603	Assessment centre > Touchscreen > Health and medical history > Operations	100047	Had major operations	Categorical single
2443		YES				100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Diabetes diagnosed by doctor	Categorical single
2453		YES				100603	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Cancer diagnosed by doctor	Categorical single
2463		YES				100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Fractured/broken bones in last 5 years	Categorical single
2473		YES				100603	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Other serious medical condition/disability diagnosed by doctor	Categorical single
2492		YES				100603	Assessment centre > Touchscreen > Health and medical history > Medication	100045	Taking other prescription medications	Categorical single
2624		YES				100317	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Frequency of heavy DIY in last 4 weeks	Categorical single
2634		YES				100318	Assessment centre > Touchscreen > Lifestyle and environment > Physical activity	100054	Duration of heavy DIY	Categorical single
2644		YES				100349	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	"Light smokers, at least 100 smokes in lifetime"	Categorical single
2654		YES				100389	Assessment centre > Touchscreen > Lifestyle and environment > Diet	100052	Non-butter spread type details	Categorical single
2664		YES				100418	Assessment centre > Touchscreen > Lifestyle and environment > Alcohol	100051	Reason for reducing amount of alcohol drunk	Categorical single
2674		YES				100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had breast cancer screening / mammogram	Categorical single
2684		YES				100567	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last breast cancer screening / mammogram	Integer
2694		YES				100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever had cervical smear test	Categorical single
2704		YES				100569	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Years since last cervical smear test	Integer
2714		YES				100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when periods started (menarche)	Integer
2724		YES				100579	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Had menopause	Categorical single
2734		YES				100584	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Number of live births	Integer
2744		YES				100585	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Birth weight of first child	Integer
2754		YES				100586	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at first live birth	Integer
2764		YES				100586	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at last live birth	Integer
2774		YES				100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	"Ever had stillbirth, spontaneous miscarriage or termination"	Categorical single
2784		YES				100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever taken oral contraceptive pill	Categorical single
2794		YES				100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age started oral contraceptive pill	Integer
2804		YES				100595	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age when last used oral contraceptive pill	Integer
2814		YES				100349	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Ever used hormone-replacement therapy (HRT)	Categorical single
2824		YES				100291	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Age at hysterectomy	Integer
2834		YES				100599	Assessment centre > Touchscreen > Sex-specific factors > Female-specific factors	100069	Bilateral oophorectomy (both ovaries removed)	Categorical single
2844		YES				100603	Assessment centre > Touchscreen > Health and medical history > Operations	100047	Had other major operations	Categorical single
2867		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Age started smoking in former smokers	Integer
2877		YES				100351	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Type of tobacco previously smoked	Categorical single
2887		YES				100353	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Number of cigarettes previously smoked daily	Integer
2897		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Age stopped smoking	Integer
2907		YES				100349	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Ever stopped smoking for 6+ months	Categorical single
2926		YES				100291	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Number of unsuccessful stop-smoking attempts	Integer
2936		YES				100369	Assessment centre > Touchscreen > Lifestyle and environment > Smoking	100058	Likelihood of resuming smoking	Categorical single
2946		YES				100291	Assessment centre > Touchscreen > Family history	100034	Father's age	Integer
2956		YES				100349	Assessment centre > Touchscreen > Health and medical history > Pain	100048	General pain for 3+ months	Categorical single
2966		YES				100291	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Age high blood pressure diagnosed	Integer
2976		YES				100291	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Age diabetes diagnosed	Integer
2986		YES				100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Started insulin within one year diagnosis of diabetes	Categorical single
3005		YES				100349	Assessment centre > Touchscreen > Health and medical history > Medical conditions	100044	Fracture resulting from simple fall	Categorical single
3059		YES				22	Assessment centre > Physical measures > Spirometry	100020	Result ranking	Categorical single
